,C_GENDER,C_AGE,C_FIRST_WORK_DATE,CUST_CODE
205,2,59,01-JAN-76,45509183
206,1,45,01-JUN-91,85827547
207,2,51,01-JUL-87,19591652
208,2,28,01-AUG-13,47421229
209,1,27,28-AUG-14,71959032
210,1,33,18-NOV-02,65780522
211,2,41,01-JUL-94,11087253
212,1,35,01-SEP-05,27022241
213,2,37,01-SEP-03,14537029
214,1,61,01-SEP-73,16250828
215,1,44,01-AUG-94,45217604
216,1,42,03-SEP-93,68263524
217,2,29,01-SEP-07,90651051
218,2,32,12-SEP-07,40072992
219,1,28,02-JUL-16,61767168
220,1,47,01-NOV-88,29402391
221,2,27,12-AUG-14,71208307
222,1,30,01-JUL-09,21529932
223,1,29,01-AUG-13,57178602
224,1,26,25-AUG-15,43732444
225,2,32,01-APR-06,76319573
226,1,27,01-APR-12,83485314
227,1,29,01-JUL-11,38965340
228,2,25,01-AUG-14,18793911
229,1,50,01-SEP-85,33206618
230,1,35,01-JAN-05,54971133
231,1,27,01-DEC-12,39767816
232,1,29,01-SEP-12,35686309
233,2,28,01-JUL-14,90243232
234,2,31,24-JAN-10,91808670
235,2,42,01-JUL-99,13222388
236,1,40,01-OCT-98,48511203
237,1,31,01-JUL-10,63030105
238,2,46,08-JUL-94,80985965
239,1,42,01-JUL-98,41873945
240,1,33,01-JAN-07,35671859
241,2,29,01-MAR-10,71698836
242,1,32,01-JUL-07,51872596
243,1,30,01-AUG-14,60141362
244,1,56,01-NOV-79,42849825
245,1,45,10-AUG-93,73783697
246,1,47,01-SEP-90,55297705
247,2,30,26-SEP-10,57527866
248,2,48,30-DEC-85,53669093
249,2,26,26-FEB-16,13836304
250,2,25,01-NOV-14,85701988
251,2,41,01-NOV-94,83294893
252,2,28,26-JUL-12,85923077
253,1,30,01-MAR-13,35581511
254,1,55,21-AUG-80,81870300
255,2,37,01-JUL-03,59883810
256,1,35,01-DEC-99,60057904
257,2,48,01-NOV-90,22140671
258,2,25,01-DEC-11,54824449
259,2,30,11-JUL-11,60222753
260,2,27,01-JUL-16,19757905
261,1,29,11-MAR-13,71635379
262,2,39,20-SEP-99,59952413
263,1,45,01-MAY-90,71849716
264,2,27,08-DEC-14,33681703
265,2,29,15-JAN-14,69562954
266,2,41,01-AUG-01,24683335
267,1,62,01-MAR-82,30177162
268,2,24,01-JUL-16,32521888
269,1,47,01-JUL-94,78010000
270,1,48,01-APR-95,11380577
271,1,29,01-JUL-12,26670266
272,1,56,01-AUG-82,79086543
273,2,39,01-JUL-96,12574214
274,2,38,01-JUL-03,60349943
275,2,29,01-SEP-11,12850389
276,2,25,01-JAN-15,27644280
277,2,41,01-JUL-00,21240858
278,1,28,01-JUL-11,72514535
279,1,42,01-JUL-97,15903509
280,1,39,01-SEP-00,22361592
281,1,30,01-MAR-12,12973531
282,1,36,07-NOV-01,17306564
283,1,52,01-JUL-86,32288174
284,2,38,01-AUG-02,28077872
285,1,31,01-SEP-10,48940819
286,1,31,26-JUL-12,61147674
287,2,30,13-MAY-13,55387109
288,2,27,08-DEC-14,49547302
289,2,29,20-MAY-13,80388997
290,1,31,01-JUL-09,89929855
291,1,30,08-DEC-14,54346030
292,1,53,01-NOV-83,99700836
293,2,30,08-DEC-14,87228028
294,2,28,30-MAY-13,20332226
295,2,34,19-NOV-12,30810021
296,2,38,01-JUL-04,56352952
297,2,30,08-DEC-14,16047893
298,2,31,19-NOV-12,88543823
299,2,40,19-AUG-12,84404836
300,1,28,19-NOV-12,51217401
301,2,28,08-DEC-14,63927719
302,2,26,01-JUL-16,74323430
303,1,28,12-OCT-13,20944137
304,1,28,08-DEC-14,13835629
305,1,25,24-JUN-15,26009277
306,2,37,19-NOV-12,82066795
307,2,27,13-JAN-14,49260578
308,2,29,12-OCT-13,75864861
309,2,25,24-AUG-15,59355386
310,2,29,12-OCT-13,45479275
311,2,33,30-JUN-11,48025021
312,2,50,01-JUL-90,25963457
313,1,39,01-JUL-01,83859809
314,2,48,01-JUL-93,76181479
315,1,58,01-OCT-80,67489154
316,2,36,01-MAY-06,91234469
317,2,29,01-NOV-12,31794883
318,1,35,05-MAY-08,40091223
319,1,31,01-JUN-11,21468390
320,1,33,01-OCT-08,26920942
321,1,26,06-AUG-14,44866007
322,1,29,12-OCT-13,34108078
323,2,45,04-SEP-09,78462018
324,2,25,19-AUG-14,79127793
325,1,29,01-JUN-12,16854345
326,2,24,01-JUL-16,92961723
327,2,29,06-MAY-13,85213487
328,1,46,19-AUG-12,87826454
329,1,44,01-SEP-98,78596556
330,1,48,01-SEP-90,50081763
331,1,37,01-JUN-02,59114058
332,2,71,01-SEP-80,63464991
333,2,55,01-DEC-86,95764101
334,2,64,01-FEB-80,10120589
335,2,65,01-AUG-82,40872433
336,2,71,01-NOV-79,13302208
337,2,63,01-DEC-74,99088430
338,2,60,01-APR-76,48855451
339,1,36,01-JUL-04,83298086
340,1,60,01-DEC-76,73178251
341,2,53,01-DEC-85,11987506
342,1,43,01-SEP-91,87440869
343,1,34,16-SEP-01,48608024
344,2,39,13-APR-11,13931891
345,1,36,25-JAN-12,63293112
346,1,34,27-APR-09,84439408
347,2,28,01-JUL-13,68844404
348,1,42,01-DEC-94,16333934
349,1,35,26-JUN-06,11755295
350,2,28,28-NOV-11,33842924
351,2,25,29-JUN-11,38824049
352,1,46,20-JUN-88,73884637
353,1,28,01-AUG-14,13081845
354,2,27,19-MAY-15,13092099
355,1,44,01-OCT-98,49704735
356,2,32,01-JUN-10,62050313
357,2,34,14-APR-08,48921159
358,1,41,01-JUL-93,68341507
359,2,43,01-JUL-95,89102676
360,1,27,13-NOV-14,92329711
361,1,36,01-MAY-03,95975962
362,2,24,20-JUL-16,46894507
363,1,29,01-JAN-12,56039981
364,2,30,31-MAR-14,36266637
365,1,37,01-DEC-99,75403506
366,1,42,01-NOV-94,40040736
367,1,34,01-NOV-07,54057712
368,2,44,01-FEB-92,90988799
369,2,29,14-AUG-13,52048237
370,1,40,01-JUL-02,59819921
371,2,33,01-APR-09,42278395
